!SIL 1.0	sil
<UNK> 1.0	spn
अकबरशाह 1.0	a k b a r sh aa h
सम्भाल 1.0	s a m bh aa l
दूरबीन 1.0	d uu r b ii n
उराओं 1.0	u r aa oo q
एस्सेल 1.0	ee s s ee l
आरईटी 1.0	aa r a ii tx ii
घनीपुरा 1.0	gh a n ii p u r aa
उपकार 1.0	u p a k aa r
धूलिया 1.0	dh uu l i y aa
एनएचएआई 1.0	ee n a ee c a ee aa ii
जुनिपर 1.0	j u n i p a r
मूलत 1.0	m uu l a t
कमिश्नरी 1.0	k a m i sh n a r ii
शैम्पू 1.0	sh ei m p uu
भयावह 1.0	bh a y aa w a h
जुआन 1.0	j u aa n
बिघटन 1.0	b i gh tx a n
राष्ट्रीयता 1.0	r aa sx tx r ii y t aa
प्रणतिमात्र 1.0	p r nx a t i m aa t r
सूती 1.0	s uu t ii
झंडु 1.0	jh a q dx u
मनोविक्षिप्ति 1.0	m a n oo w i k sx i p t i
भोली 1.0	bh oo l ii
देअद 1.0	d ee a d
डिजिटाइजेशन 1.0	dx i j i tx aa i j ee sh a n
चरचा 1.0	c a r c aa
ननखड़ी 1.0	n a n kh a dxq ii
इमान 1.0	i m aa n
मैंगशो 1.0	m ei q g a sh oo
ट्रोलर्स 1.0	tx r oo l a r s
कैम्ब्रिज 1.0	k ei m b r i j
घटकर 1.0	gh a tx k a r
अधिशासी 1.0	a dh i sh aa s ii
राज्यमें 1.0	r aa j y a m ee q
मानुएल 1.0	m aa n u ee l
कुल्हड़ 1.0	k u l h a dxq
ट्रोलिंग 1.0	tx r oo l i q g
चरमपंथियों 1.0	c a r a m p a q th i y oo q
अनेक 1.0	a n ee k
जमुई 1.0	j a m u ii
ट्वीटर 1.0	tx w ii tx a r
गुलेरिया 1.0	g u l ee r i y aa
सुलतान 1.0	s u l t aa n
गावं 1.0	g aa w a q
कुंबले 1.0	k u q b a l ee
तड़पना 1.0	t a dxq a p n aa
खूबचंद 1.0	kh uu b c a q d
तीस 1.0	t ii s
बे 1.0	b ee
पादुका 1.0	p aa d u k aa
नाराज 1.0	n aa r aa j
संभाग 1.0	s a q bh aa g
सब्जी 1.0	s a b j ii
भटका 1.0	bh a tx k aa
कार्यरूप 1.0	k aa r y a r uu p
उत्सवों 1.0	u t s a w oo q
प्रेसिडेंसी 1.0	p r ee s i dx ee q s ii
चुनावः 1.0	c u n aa w a hq
बीएसए 1.0	b ii ee s a ee
माउथवॉश 1.0	m aa u th a w ax sh
बिंदास 1.0	b i q d aa s
क्रैकर्स 1.0	k r ei k a r s
नंबि 1.0	n a q b i
उनहोने 1.0	u n a h oo n ee
ढूंढ़ते 1.0	dxh uu q dxhq a t ee
अब्रज़ार 1.0	a b r a z aa r
वेस्टलैंड 1.0	w ee s tx a l ei q dx
रिहायशी 1.0	r i h aa y sh ii
एपीबी 1.0	ee p ii b ii
फतुहा 1.0	ph a t u h aa
धरोहरों 1.0	dh a r oo h r oo q
कालीयक 1.0	k aa l ii y a k
स्लिक 1.0	s l i k
लालूभाई 1.0	l aa l uu bh aa ii
टिपिकल 1.0	tx i p i k a l
भीकपुर 1.0	bh ii k p u r
मल्टीस्टारर 1.0	m a l tx ii s tx aa r a r
कशाभसीलिया 1.0	k a sh aa bh s ii l i y aa
स्टरलाइट 1.0	s tx r a l aa i tx
एमाट्रिस 1.0	ee m aa tx r i s
राममंदिर 1.0	r aa m m a q d i r
फिक्की 1.0	ph i k k ii
जगदीप 1.0	j a g d ii p
ऐरोमैटिक 1.0	ei r oo m ei tx i k
सामग्रियाँ 1.0	s aa m a g r i y aa mq
तालेबंदी 1.0	t aa l ee b a q d ii
नुमाइस़ी 1.0	n u m aa i s nk ii
मिश्रधातुओं 1.0	m i sh r a dh aa t u oo q
उदविकास 1.0	u d a w i k aa s
बड़हिया 1.0	b a dxq h i y aa
नेबुलियम 1.0	n ee b u l i y a m
पीते 1.0	p ii t ee
डँटकर 1.0	dx a mq tx a k a r
टंगमर्ग 1.0	tx a q g a m a r g
बिरसा 1.0	b i r s aa
बंडारू 1.0	b a q dx aa r uu
अलहमीदी 1.0	a l a h m ii d ii
सराजघाटी 1.0	s a r aa j gh aa tx ii
धर्मनिरपेक्ष 1.0	dh a r m a n i r p ee k sx
फिल्मो 1.0	ph i l m oo
अख़्तर 1.0	a khq t a r
रॉबर्टसन 1.0	r ax b a r tx a s a n
हुआईवेई 1.0	h u aa ii w ee ii
बिलिंग 1.0	b i l i q g
तलवारबाजी 1.0	t a l w aa r b aa j ii
मुहुर्तों 1.0	m u h u r t oo q
पीरामल 1.0	p ii r aa m a l
हॉज 1.0	h ax j
हस्तक्षेप 1.0	h a s t a k sx ee p
चटाने 1.0	c a tx aa n ee
अतींद्रिय 1.0	a t ii q d r i y
वर्णित 1.0	w a r nx i t
मस्तीभरे 1.0	m a s t ii bh r ee
इकबालिया 1.0	i k b aa l i y aa
यनि 1.0	y a n i
कोठार 1.0	k oo txh aa r
मनमीत 1.0	m a n m ii t
इनमे 1.0	i n m ee
सम्मुख 1.0	s a m m u kh
थोंडामुथुर 1.0	th oo q dx aa m u th u r
मुर्दों 1.0	m u r d oo q
ब्रैडफोर्ड 1.0	b r ei dx ph oo r dx
अभ्युक्ति 1.0	a bh y u k t i
हटना 1.0	h a tx n aa
खडिया 1.0	kh a dx i y aa
श्रीकृष्णचन्द्र 1.0	sh r ii k rq sx nx a c a n d r
धोवन 1.0	dh oo w a n
हाता 1.0	h aa t aa
लिखने 1.0	l i kh n ee
आक्सीडेंट 1.0	aa k s ii dx ee q tx
टंबर 1.0	tx a q b a r
प्रबोधन 1.0	p r b oo dh a n
संगीतबद्ध 1.0	s a q g ii t b a d dh
देखेगी 1.0	d ee kh ee g ii
बहा 1.0	b a h aa
अनार्यों 1.0	a n aa r y oo q
आंकलन 1.0	aa q k a l a n
मुर्गे 1.0	m u r g ee
दर्शनीय 1.0	d a r sh a n ii y
शेवरॉन 1.0	sh ee w r ax n
प्रेस्ले 1.0	p r ee s l ee
मुक्केबाजों 1.0	m u k k ee b aa j oo q
पर्थ 1.0	p a r th
गुरारू 1.0	g u r aa r uu
अंबाला 1.0	a q b aa l aa
फेरते 1.0	ph ee r t ee
प्रीटी 1.0	p r ii tx ii
एकादश 1.0	ee k aa d a sh
सिलेंडरों 1.0	s i l ee q dx a r oo q
जिसके 1.0	j i s k ee
मलम 1.0	m a l a m
जालस्थल 1.0	j aa l a s th a l
ऐकव्स 1.0	ei k a w s
केद्वारा 1.0	k ee d w aa r aa
ज्वलंत 1.0	j w l a q t
कब 1.0	k a b
चौकर 1.0	c ou k a r
परोपकारधर्मिता 1.0	p a r oo p k aa r dh a r m i t aa
देशांतरण 1.0	d ee sh aa q t a r a nx
एंटीऑक्सीडेंट 1.0	ee q tx ii ax k s ii dx ee q tx
यादा 1.0	y aa d aa
राजनैतिक 1.0	r aa j n ei t i k
फंड्स 1.0	ph a q dx s
घटों 1.0	gh a tx oo q
गनीमत 1.0	g a n ii m a t
चैयर 1.0	c ei y a r
ग्रेहाउंड 1.0	g r ee h aa u q dx
प्रोध्योगिकी 1.0	p r oo dh y oo g i k ii
हंट 1.0	h a q tx
स्टोर्मी 1.0	s tx oo r m ii
याचिका 1.0	y aa c i k aa
धर्मावलंवियों 1.0	dh a r m aa w l a q w i y oo q
राधाजी 1.0	r aa dh aa j ii
चौराहा 1.0	c ou r aa h aa
संभागायुक्तों 1.0	s a q bh aa g aa y u k t oo q
सैलरी 1.0	s ei l r ii
एमटेक 1.0	ee m tx ee k
तिरुप्पायनीली 1.0	t i r u p p aa y n ii l ii
अय्यर 1.0	a y y a r
टांगती 1.0	tx aa q g a t ii
प्रेजिडेंट 1.0	p r ee j i dx ee q tx
हुक्का 1.0	h u k k aa
तंबोली 1.0	t a q b oo l ii
फंसा 1.0	ph a q s aa
संख्याबल 1.0	s a q kh y aa b a l
सोचना 1.0	s oo c n aa
यहां 1.0	y a h aa q
चोटियाँ 1.0	c oo tx i y aa mq
शैंपू 1.0	sh ei q p uu
प्रांसु 1.0	p r aa q s u
टोर्क 1.0	tx oo r k
स्वनियंत्रित 1.0	s w n i y a q t r i t
मसल्स 1.0	m a s a l s
फीडरों 1.0	ph ii dx r oo q
अश्वजित 1.0	a sh w a j i t
जिम्मेदारी 1.0	j i m m ee d aa r ii
केवड़े 1.0	k ee w dxq ee
बैक्टीरिया 1.0	b ei k tx ii r i y aa
बाज़ 1.0	b aa z
माफियाओं 1.0	m aa ph i y aa oo q
अतीत 1.0	a t ii t
रणवीर 1.0	r a nx w ii r
नाड़ी 1.0	n aa dxq ii
अभिलिखित 1.0	a bh i l i kh i t
गतिज 1.0	g a t i j
बेलछी 1.0	b ee l ch ii
मैकालेवाद 1.0	m ei k aa l ee w aa d
कालदर्शक 1.0	k aa l d a r sh a k
टूटे 1.0	tx uu tx ee
सहने 1.0	s a h n ee
जयारोग्य 1.0	j a y aa r oo g y
सहजनवा 1.0	s a h j a n w aa
मेंगराई 1.0	m ee q g a r aa ii
मनाती 1.0	m a n aa t ii
विभु 1.0	w i bh u
अमेरिकन्स 1.0	a m ee r i k a n s
मुख्यतः 1.0	m u kh y a t a hq
पीटना 1.0	p ii tx n aa
भर्तियां 1.0	bh a r t i y aa q
मुंहासे 1.0	m u q h aa s ee
द्वारिका 1.0	d w aa r i k aa
खटाई 1.0	kh a tx aa ii
भलीभांति 1.0	bh a l ii bh aa q t i
गॉडस्मैक 1.0	g ax dx a s m ei k
निगल 1.0	n i g a l
सवाना 1.0	s a w aa n aa
जानवर 1.0	j aa n w a r
भूरीबाई 1.0	bh uu r ii b aa ii
एनाटोलिया 1.0	ee n aa tx oo l i y aa
साडि़यों 1.0	s aa dx i nk y oo q
इलस्ट्रेटेड 1.0	i l a s tx r ee tx ee dx
बरपेटा 1.0	b a r p ee tx aa
उथा 1.0	u th aa
शिवल्ली 1.0	sh i w a l l ii
हरिंद्र 1.0	h a r i q d r
चौथी 1.0	c ou th ii
सन्धि 1.0	s a n dh i
गम्भीर 1.0	g a m bh ii r
कुलिन 1.0	k u l i n
पड़ 1.0	p a dxq
जोगिन्दर 1.0	j oo g i n d a r
करवा 1.0	k a r w aa
नेक 1.0	n ee k
ऑल 1.0	ax l
पुराजीवी 1.0	p u r aa j ii w ii
विद्युत् 1.0	w i d y u t
सम्भल 1.0	s a m bh a l
उगाते 1.0	u g aa t ee
सक्कर 1.0	s a k k a r
तालेबान 1.0	t aa l ee b aa n
चराईदेव 1.0	c a r aa ii d ee w
त्रिभुजों 1.0	t r i bh u j oo q
जैव 1.0	j ei w
मैनचेस्टर 1.0	m ei n c ee s tx a r
थोपना 1.0	th oo p n aa
बमुरहा 1.0	b a m u r h aa
रेडियोमापी 1.0	r ee dx i y oo m aa p ii
एएमजी 1.0	ee ee m j ii
कमलांक 1.0	k a m l aa q k
मार्ग्रेट 1.0	m aa r g r ee tx
फण्डामेण्टल 1.0	ph a nx dx aa m ee nx tx a l
मकबूल 1.0	m a k b uu l
कटवार 1.0	k a tx w aa r
अगम्य 1.0	a g a m y
यमदूत 1.0	y a m d uu t
सेलेब्रिटी 1.0	s ee l ee b r i tx ii
भिड़ंत 1.0	bh i dxq a q t
भाखड़ा 1.0	bh aa kh dxq aa
हुआंग 1.0	h u aa q g
मुसकुराती 1.0	m u s k u r aa t ii
फ्रूट्स 1.0	ph r uu tx s
वाटसन 1.0	w aa tx s a n
ऑर्गनाइज 1.0	ax r g a n aa i j
स्टॉपेज 1.0	s tx ax p ee j
बदनुमा 1.0	b a d n u m aa
ब्रोंकाइटिस 1.0	b r oo q k aa i tx i s
उदारवादी 1.0	u d aa r w aa d ii
अर्नुनपुरम 1.0	a r n u n p u r a m
निष्कर्षों 1.0	n i sx k a r sx oo q
शेल्फ 1.0	sh ee l ph
श्रीनीवास 1.0	sh r ii n ii w aa s
हरिके 1.0	h a r i k ee
सुगम 1.0	s u g a m
उद्धोषिका 1.0	u d dh oo sx i k aa
यांगून 1.0	y aa q g uu n
आसनों 1.0	aa s n oo q
प्लॉटों 1.0	p l ax tx oo q
मिलाइके 1.0	m i l aa i k ee
नसीपुर 1.0	n a s ii p u r
मंसूबा 1.0	m a q s uu b aa
देमता 1.0	d ee m t aa
ढांचागत 1.0	dxh aa q c aa g a t
फोर्स 1.0	ph oo r s
स्टिरलिंग 1.0	s tx i r l i q g
इंस्पेक्टरव 1.0	i q s p ee k tx a r a w
फ्राइस़ 1.0	ph r aa i s nk
बेल्जियम 1.0	b ee l j i y a m
महात्म 1.0	m a h aa t m
रैम्प 1.0	r ei m p
फोटो 1.0	ph oo tx oo
टोनर 1.0	tx oo n a r
जीतेंगे 1.0	j ii t ee q g ee
जगतगुरु 1.0	j a g a t g u r u
ओवर्स 1.0	oo w a r s
नई 1.0	n a ii
सीमेन्ट 1.0	s ii m ee n tx
किशारों 1.0	k i sh aa r oo q
नाम 1.0	n aa m
घींगा 1.0	gh ii q g aa
लंबोधर 1.0	l a q b oo dh a r
सडक़ों 1.0	s a dx kq oo q
अग्र 1.0	a g r
कलेक्शंस 1.0	k a l ee k sh a q s
शिवेंद्र 1.0	sh i w ee q d r
बाईचुंग 1.0	b aa ii c u q g
मैक्सिम 1.0	m ei k s i m
चॅाकलेट 1.0	c ae aa k l ee tx
भिलाई 1.0	bh i l aa ii
वैद्यनाथ 1.0	w ei d y a n aa th
कम्प्रेस 1.0	k a m p r ee s
मंगोलपुरी 1.0	m a q g oo l p u r ii
सोहन 1.0	s oo h a n
भितरघात 1.0	bh i t a r gh aa t
गवां 1.0	g a w aa q
ट्रेंडी 1.0	tx r ee q dx ii
महँगूपुर 1.0	m a h a mq g uu p u r
भांति 1.0	bh aa q t i
मसंद 1.0	m a s a q d
आउटपुट 1.0	aa u tx a p u tx
स्कू 1.0	s k uu
एमआरआईसंगत 1.0	ee m a aa r a aa ii s a q g a t
रिट्रीवर्स 1.0	r i tx r ii w a r s
हनीमून 1.0	h a n ii m uu n
यूटिलाइज 1.0	y uu tx i l aa i j
बिंदिया 1.0	b i q d i y aa
स्कोर 1.0	s k oo r
झरने 1.0	jh a r n ee
खींचतान 1.0	kh ii q c a t aa n
फ्लूइडिटी 1.0	ph l uu i dx i tx ii
दिनारपुरा 1.0	d i n aa r p u r aa
शान्तचित्त 1.0	sh aa n t a c i t t
भैरव 1.0	bh ei r a w
चन्द्रकान्ता 1.0	c a n d r a k aa n t aa
पारता 1.0	p aa r t aa
पियर्सन 1.0	p i y a r s a n
प्रोपीन 1.0	p r oo p ii n
जादूगरनियों 1.0	j aa d uu g a r n i y oo q
इग्लेसियस 1.0	i g l ee s i y a s
मीरपुर 1.0	m ii r p u r
जेड 1.0	j ee dx
कलेक्टरों 1.0	k a l ee k tx a r oo q
पंक्तियों 1.0	p a q k t i y oo q
रकबर 1.0	r a k b a r
सुरेश्वर 1.0	s u r ee sh w a r
जबसे 1.0	j a b s ee
ऑरगैनो 1.0	ax r g ei n oo
सत्यभामा 1.0	s a t y a bh aa m aa
हटाने 1.0	h a tx aa n ee
दाइश 1.0	d aa i sh
मृदुता 1.0	m rq d u t aa
डेट 1.0	dx ee tx
विलुप्त 1.0	w i l u p t
गोविंदघाट 1.0	g oo w i q d a gh aa tx
उपलिंग 1.0	u p a l i q g
जख्म 1.0	j a kh m
रंगाई 1.0	r a q g aa ii
बैकअप 1.0	b ei k a a p
अश्विन 1.0	a sh w i n
पथरगामा 1.0	p a th a r g aa m aa
क्षमताओं 1.0	k sx a m t aa oo q
फिवोल्कस 1.0	ph i w oo l k a s
अविराम 1.0	a w i r aa m
द्वापर 1.0	d w aa p a r
महाकल्प 1.0	m a h aa k a l p
मंडल 1.0	m a q dx a l
दिशाकारी 1.0	d i sh aa k aa r ii
विना 1.0	w i n aa
जेवर 1.0	j ee w a r
